title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate
Gov,Jack ,,Dalrymple,,,,ND,,,,701.328.2200,,,,,,,,,,DalrympleforGov,,,,,,
Lt Gov,Drew ,,Wrigley,,,,ND,,,,701.328.2200,,,,,,,,,,DrewWrigley,,,,,,
AG,Wayne ,,Stenehjem,,,,ND,,,,701 328-2210,,,,,,,,,,,,,,,,
,House,,,,,,ND,,,,701-328-3373,,,,,,,,,,,,,,,,
,House,,GOP,,,,ND,,,,701-328-3373,,,,,,,,,,,,,,,,
,House,,Dems,,,,ND,,,,701-328-3373,,,,,,,,,,,,,,,,
,Senate,,,,,,ND,,,,701-328-3373,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,ND,,,,701-328-3373,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,ND,,,,701-328-3373,,,,,,,,,,,,,,,,
Gov,John ,,Kasich,,,,OH,,,,(614) 466-3555,,,,,,,,,,JohnKasich,,,,,,
Lt Gov,Mary ,,Taylor,,,,OH,,,,(614) 466-3555,,,,,,,,,,MaryTaylorOH,,,,,,
AG,Mike ,,DeWine,,,,OH,,,,614-466-4986,,,,,,,,,,OhioAG,,,,,,
,House,,,,,,OH,,,,800-282-0253,,,,,,,,,,,,,,,,
,House,,GOP,,,,OH,,,,800-282-0253,,,,,,,,,,OhioHouseGOP,,,,,,
,House,,Dems,,,,OH,,,,800-282-0253,,,,,,,,,,OhioHouseDems,,,,,,
,Senate,,,,,,OH,,,,800-282-0253,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,OH,,,,800-282-0253,,,,,,,,,,OhioSenateGOP,,,,,,
,Senate,,Dems,,,,OH,,,,800-282-0253,,,,,,,,,,OhioSenateDems,,,,,,
Gov,Mary ,,Fallin,,,,OK,,,,(405) 521-2342,,,,,,,,,,GovMaryFallin,,,,,,
Lt Gov,Todd ,,Lamb,,,,OK,,,,405-521-2161,,,,,,,,,,LtGovToddLamb,,,,,,
AG,Scott ,,Pruitt,,,,OK,,,,405.521.3921,,,,,,,,,,OklaAG,,,,,,
,House,,,,,,OK,,,,(405) 521-2101,,,,,,,,,,OKHouseofReps,,,,,,
,House,,GOP,,,,OK,,,,(405) 521-2101,,,,,,,,,,OKGOPHOUSE,,,,,,
,House,,Dems,,,,OK,,,,(405) 521-2101,,,,,,,,,,,,,,,,
,Senate,,,,,,OK,,,,(405) 521-2101,,,,,,,,,,OKSENATEINFO,,,,,,
,Senate,,GOP,,,,OK,,,,(405) 521-2101,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,OK,,,,(405) 521-2101,,,,,,,,,,,,,,,,
Gov,John ,,Kitzhaber,,,,OR,,,,(503) 378-3111 ,,,,,,,,,,GovKitz,,,,,,
AG,Ellen ,,Rosenblum,,,,OR,,,,(503) 378-4400,,,,,,,,,,EllenRosenblum,,,,,,
,House,,,,,,OR,,,,(503) 986-1870,,,,,,,,,,,,,,,,
,House,,GOP,,,,OR,,,,(503) 986-1870,,,,,,,,,,oregonhousedems,,,,,,
,House,,Dems,,,,OR,,,,(503) 986-1870,,,,,,,,,,OregonHouseGOP,,,,,,
,Senate,,,,,,OR,,,,503-986-1851 ,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,OR,,,,503-986-1851 ,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,OR,,,,503-986-1851 ,,,,,,,,,,orsendemocrats,,,,,,
Gov,Tom ,,Corbett,,,,PA,,,,717-787-2500,,,,,,,,,,GovernorCorbett,,,,,,
Lt Gov,Jim ,,Cawley,,,,PA,,,,717-787-3300,,,,,,,,,,CawleyforLG,,,,,,
AG,Kathleen Kane,,,,,,PA,,,,717-787-3391,,,,,,,,,,KathleenGKane,,,,,,
,House,,,,,,PA,,,,(717) 787-2372,,,,,,,,,,PaLegis,,,,,,
,House,,GOP,,,,PA,,,,(717) 787-2372,,,,,,,,,,PAHouseGOP,,,,,,
,House,,Dems,,,,PA,,,,(717) 787-2372,,,,,,,,,,PaHouseDems,,,,,,
,Senate,,,,,,PA,,,,(717) 787-7163,,,,,,,,,,PaLegis,,,,,,
,Senate,,GOP,,,,PA,,,,(717) 787-7163,,,,,,,,,,PaSenateDems,,,,,,
,Senate,,Dems,,,,PA,,,,(717) 787-7163,,,,,,,,,,PASenateGOP,,,,,,
Gov,Lincoln ,,Chafee,,,,RI,,,,(401) 222-2080,,,,,,,,,,LincolnChafee,,,,,,
Lt Gov,Elizabeth ,,Roberts,,,,RI,,,,(401) 222-2371,,,,,,,,,,LtGovRoberts,,,,,,
AG,Peter ,,Kilmartin,,,,RI,,,,(401) 274-4400,,,,,,,,,,PeterFKilmartin,,,,,,
,House,,,,,,RI,,,,(401) 222-3580,,,,,,,,,,RIHouseofReps,,,,,,
,House,,GOP,,,,RI,,,,(401) 222-3580,,,,,,,,,,,,,,,,
,House,,Dems,,,,RI,,,,(401) 222-3580,,,,,,,,,,,,,,,,
,Senate,,,,,,RI,,,,(401) 222-3580,,,,,,,,,,RISenate,,,,,,
,Senate,,GOP,,,,RI,,,,(401) 222-3580,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,RI,,,,(401) 222-3580,,,,,,,,,,,,,,,,
Gov,Nikki ,,Haley,,,,SC,,,,803-734-2100,,,,,,,,,,nikkihaley,,,,,,
Lt Gov,Glenn ,,McConnell,,,,SC,,,,(803) 734-2080,,,,,,,,,,,,,,,,
AG,Alan ,,Wilson,,,,SC,,,,803-734-3970,,,,,,,,,,AGAlanWilson,,,,,,
,House,,,,,,SC,,,,(803) 734-2403,,,,,,,,,,,,,,,,
,House,,GOP,,,,SC,,,,(803) 734-2403,,,,,,,,,,SCHouseGOP,,,,,,
,House,,Dems,,,,SC,,,,(803) 734-2403,,,,,,,,,,SCHouseDems,,,,,,
,Senate,,,,,,SC,,,,(803) 212-6200,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,SC,,,,(803) 212-6200,,,,,,,,,,scsenategop,,,,,,
,Senate,,Dems,,,,SC,,,,(803) 212-6200,,,,,,,,,,SCSenateDems,,,,,,
Gov,Dennis,,Daugaard,,,,SD,,,,605.773.3212,,,,,,,,,,SDGovDaugaard,,,,,,
Lt Gov,Matt ,,Michels,,,,SD,,,,605.773.3212,,,,,,,,,,,,,,,,
AG,Marty ,,Jackley,,,,SD,,,,(605) 773-3215,,,,,,,,,,SDAttorneyGen,,,,,,
,House,,,,,,SD,,,,(605) 773-3251,,,,,,,,,,,,,,,,
,House,,GOP,,,,SD,,,,(605) 773-3251,,,,,,,,,,,,,,,,
,House,,Dems,,,,SD,,,,(605) 773-3251,,,,,,,,,,,,,,,,
,Senate,,,,,,SD,,,,(605) 773-3251,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,SD,,,,(605) 773-3251,,,,,,,,,,SDSenateGOP,,,,,,
,Senate,,Dems,,,,SD,,,,(605) 773-3251,,,,,,,,,,SDSenateDems,,,,,,
Gov,Bill ,,Haslam,,,,TN,,,,(615) 741-2001,,,,,,,,,,BillHaslam,,,,,,
Lt Gov,Ron ,,Ramsey,,,,TN,,,,615.741.4524,,,,,,,,,,RonRamsey,,,,,,
AG,Robert ,,Cooper,,,,TN,,,,(615) 741-3491,,,,,,,,,,Tnattygen,,,,,,
,House,,,,,,TN,,,,(615) 741-0709,,,,,,,,,,,,,,,,
,House,,GOP,,,,TN,,,,(615) 741-0709,,,,,,,,,,,,,,,,
,House,,Dems,,,,TN,,,,(615) 741-0709,,,,,,,,,,,,,,,,
,Senate,,,,,,TN,,,,(615) 741-3227,,,,,,,,,,tnsenate,,,,,,
,Senate,,GOP,,,,TN,,,,(615) 741-3227,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,TN,,,,(615) 741-3227,,,,,,,,,,TNSenateDems,,,,,,
Gov,Rick ,,Perry,,,,TX,,,,(512) 463-2000,,,,,,,,,,GovernorPerry,,,,,,
Lt Gov,David ,,Dewhurst,,,,TX,,,,512 463-0001,,,,,,,,,,DavidHDewhurst,,,,,,
AG,Greg ,,Abbott,,,,TX,,,,(512) 475-4413,,,,,,,,,,GregAbbott_TX,,,,,,
,House,,,,,,TX,,,,(512) 463-1000,,,,,,,,,,TX_Legislature,,,,,,
,House,,GOP,,,,TX,,,,(512) 463-1000,,,,,,,,,,TxHouseCaucus,,,,,,
,House,,Dems,,,,TX,,,,(512) 463-1000,,,,,,,,,,,,,,,,
,Senate,,,,,,TX,,,,(512) 463-0126,,,,,,,,,,TX_Legislature,,,,,,
,Senate,,GOP,,,,TX,,,,(512) 463-0126,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,TX,,,,(512) 463-0126,,,,,,,,,,,,,,,,
Gov,Gary ,,Herbert,,,,UT,,,,801-538-1000,,,,,,,,,,governorherbert,,,,,,
Lt Gov,Greg ,,Bell,,,,UT,,,,800-995-8683,,,,,,,,,,LtGovGregBell,,,,,,
AG,John ,,Swallow,,,,UT,,,,801-366-0260,,,,,,,,,,JohneSwallow,,,,,,
,House,,,,,,UT,,,,(801) 538-1029,,,,,,,,,,,,,,,,
,House,,GOP,,,,UT,,,,(801) 538-1029,,,,,,,,,,UtahReps,,,,,,
,House,,Dems,,,,UT,,,,(801) 538-1029,,,,,,,,,,utahhousedems,,,,,,
,Senate,,,,,,UT,,,,(801) 538-1035,,,,,,,,,,utahsenate,,,,,,
,Senate,,GOP,,,,UT,,,,(801) 538-1035,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,UT,,,,(801) 538-1035,,,,,,,,,,UTSenateDems,,,,,,
Gov,Peter ,,Shumlin,,,,VT,,,, 802 828-3333,,,,,,,,,,GovPeterShumlin,,,,,,
Lt Gov,Phil ,,Scott,,,,VT,,,,(802) 828-2226,,,,,,,,,,PhilScottVT,,,,,,
AG,Bill ,,Sorrell,,,,VT,,,,(802) 828-3171,,,,,,,,,,ATGBillSorrell,,,,,,
,House,,,,,,VT,,,,802-828-2228,,,,,,,,,,,,,,,,
,House,,GOP,,,,VT,,,,802-828-2228,,,,,,,,,,VTHouseGOP,,,,,,
,House,,Dems,,,,VT,,,,802-828-2228,,,,,,,,,,,,,,,,
,Senate,,,,,,VT,,,,802-828-2228,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,VT,,,,802-828-2228,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,VT,,,,802-828-2228,,,,,,,,,,,,,,,,
Gov,Bob ,,McDonnell,,,,VA,,,,(804) 786-2211,,,,,,,,,,BobMcDonnel,,,,,,
Lt Gov,Bill ,,Bolling,,,,VA,,,,804-786-2078,,,,,,,,,,lgbillbolling,,,,,,
AG,Ken ,,Cuccinelli,,,,VA,,,,(804) 786-2071,,,,,,,,,,KenCuccinelli,,,,,,
,House,,,,,,VA,,,,(804) 786-9631,,,,,,,,,,VaHouse,,,,,,
,House,,GOP,,,,VA,,,,(804) 786-9631,,,,,,,,,,VAGOPCaucus,,,,,,
,House,,Dems,,,,VA,,,,(804) 786-9631,,,,,,,,,,VAHouseDems,,,,,,
,Senate,,,,,,VA,,,,(804) 786-9631,,,,,,,,,,VASenate,,,,,,
,Senate,,GOP,,,,VA,,,,(804) 786-9631,,,,,,,,,,VASenateGOP,,,,,,
,Senate,,Dems,,,,VA,,,,(804) 786-9631,,,,,,,,,,VASenateDems,,,,,,
Gov,Chris ,,Gregoire,,,,WA,,,,(804) 786-9631,,,,,,,,,,GovGregoire,,,,,,
Lt Gov,Brad ,,Owen,,,,WA,,,,(360) 786-7700,,,,,,,,,,VoteBradOwen,,,,,,
AG,Bob,,Ferguson,,,,WA,,,,(360) 753-6200,,,,,,,,,,AGOWA,,,,,,
,House,,,,,,WA,,,,360.786.7573,,,,,,,,,,,,,,,,
,House,,GOP,,,,WA,,,,360.786.7573,,,,,,,,,,WaHouseGOP,,,,,,
,House,,Dems,,,,WA,,,,360.786.7573,,,,,,,,,,WAHouseDems,,,,,,
,Senate,,,,,,WA,,,,360.786.7573,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,WA,,,,360.786.7573,,,,,,,,,,WashingtonSRC,,,,,,
,Senate,,Dems,,,,WA,,,,360.786.7573,,,,,,,,,,WASenDemocrats,,,,,,
Gov,Earl  ,,Tomblin,,,,WV,,,,(304) 558-2000,,,,,,,,,,ertwv,,,,,,
Lt Gov,,,,,,,WV,,,,,,,,,,,,,,,,,,,,
AG,Patrick ,,Morrisey,,,,WV,,,,(304) 558-2021,,,,,,,,,,MorriseyForAG,,,,,,
,House,,,,,,WV,,,,304-347-4836,,,,,,,,,,wvhouse,,,,,,
,House,,GOP,,,,WV,,,,304-347-4836,,,,,,,,,,,,,,,,
,House,,Dems,,,,WV,,,,304-347-4836,,,,,,,,,,,,,,,,
,Senate,,,,,,WV,,,,304-347-4836,,,,,,,,,, wvsenate,,,,,,
,Senate,,GOP,,,,WV,,,,304-347-4836,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,WV,,,,304-347-4836,,,,,,,,,,,,,,,,
Gov,Scott ,,Walker,,,,WI,,,,(608) 266-1212,,,,,,,,,,GovWalker,,,,,,
Lt Gov,Rebecca ,,Kleefisch,,,,WI,,,,(608) 266-3516,,,,,,,,,,LtGovKleefisch,,,,,,
AG,J.B. ,,Van Hollen,,,,WI,,,,(608) 266-1221,,,,,,,,,,WisDOJ,,,,,,
,House,,,,,,WI,,,,(608) 266-0341,,,,,,,,,,,,,,,,
,House,,GOP,,,,WI,,,,(608) 266-0341,,,,,,,,,,,,,,,,
,House,,Dems,,,,WI,,,,(608) 266-0341,,,,,,,,,,WIAssemblyDems,,,,,,
,Senate,,,,,,WI,,,,(608) 266-0341,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,WI,,,,(608) 266-0341,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,WI,,,,(608) 266-0341,,,,,,,,,,TakingBackWI,,,,,,
Gov,Matt ,,Mead,,,,WY,,,,(307) 777-7434,,,,,,,,,,mattmeadforgov,,,,,,
Lt Gov,Max ,,Maxfield,,,,WY,,,,307.777.7378,,,,,,,,,,,,,,,,
AG,Gregory ,,Phillips,,,,WY,,,,(307) 777-7841,,,,,,,,,,,,,,,,
,House,,,,,,WY,,,,(307) 777-7881,,,,,,,,,,WYLegislature,,,,,,
,House,,GOP,,,,WY,,,,(307) 777-7881,,,,,,,,,,,,,,,,
,House,,Dems,,,,WY,,,,(307) 777-7881,,,,,,,,,,,,,,,,
,Senate,,,,,,WY,,,,(307) 777-7881,,,,,,,,,,WYLegislature,,,,,,
,Senate,,GOP,,,,WY,,,,(307) 777-7881,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,WY,,,,(307) 777-7881,,,,,,,,,,,,,,,,
Pres,Barack,,Obama,,,,,,,,202-456-1111,,,,,,,,,,BarackObama,,,,,,
VP,Joe,,Biden,,,,,,,,202-456-1111,,,,,,,,,,JoeBiden,,,,,,
AG,Eric,,Holder,,,,,,,,202-353-1555,,,,,,,,,,TheJusticeDept,,,,,,
Sec,Hillary,,Clinton,,,,,,,,202-647-6575,,,,,,,,,,statedept,,,,,,
US,House,,,,,,,,,,(202) 224-3121,,,,,,,,,,,,,,,,
US,House,,GOP,,,,,,,,202-225-0600,,,,,,,,,,johnboehner,,,,,,
US,House,,Dems,,,,,,,,202-225-0100,,,,,,,,,,NancyPelosi,,,,,,
US,Senate,,,,,,,,,,(202) 224-3121,,,,,,,,,,,,,,,,
US,Senate,,GOP,,,,,,,,202-224-2541,,,,,,,,,,McConnellPress,,,,,,
US,Senate,,Dems,,,,,,,,202-224-3542,,,,,,,,,,SenatorReid,,,,,,
